Node Pair,Common Neighbors,Jaccard Coefficient,Preferential Attachment,Target
0-1,7,0.3888888888888889,-0.07051481773207335,1
0-2,5,0.238095238095238,-0.2506873557945112,1
0-3,5,0.2941176470588235,-0.15050328553777598,1
0-4,2,0.1176470588235294,-0.22162731282724013,1
0-5,2,0.1111111111111111,-0.44325462565448015,1
0-6,2,0.1111111111111111,-0.44325462565448004,1
0-7,3,0.1764705882352941,-0.12503907311856022,1
0-8,1,0.05,0.049592510457842603,1
0-10,2,0.1176470588235294,-0.2216273128272401,1
0-11,0,0.0,0.11081365641362007,1
0-12,1,0.0588235294117647,0.03556201364473224,1
0-13,3,0.1666666666666666,-0.11195465090237872,1
0-17,1,0.0588235294117647,0.07555624754758339,1
0-19,1,0.0555555555555555,0.08864066976376483,1
0-21,1,0.0588235294117647,0.07555624754758361,1
0-31,0,0.0,0.04599634032809366,1
1-2,4,0.2666666666666666,-0.667570067164165,1
1-3,4,0.3636363636363636,-0.46088502799596387,1
1-7,3,0.3,-0.2839806241477557,1
1-13,3,0.2727272727272727,-0.2650132886806043,1
1-17,1,0.1,0.2802469234323085,1
1-19,1,0.0909090909090909,0.29921425889946,1
1-21,1,0.1,0.2802469234323087,1
1-30,0,0.0,0.15027304914986567,1
2-3,4,0.3333333333333333,-0.20563437340980273,1
2-7,3,0.2727272727272727,-0.07925429218525701,1
2-8,2,0.1538461538461538,0.2958985832481974,1
2-9,0,0.0,0.4109665191127612,1
2-13,3,0.25,-0.15097937907147835,1
2-27,0,0.0,0.162015444514983,1
2-28,0,0.0,0.23060313613881003,1
2-32,1,0.0476190476190476,0.18540820860639262,1
3-7,3,0.4285714285714285,-0.0825842302676289,1
3-12,1,0.1428571428571428,0.25067547043525384,1
3-13,3,0.375,-0.04736010040751493,1
4-6,1,0.1666666666666666,-0.4317453743455201,1
4-10,1,0.2,-0.15337268717275987,1
5-6,2,0.3333333333333333,-0.4884907486910401,1
5-10,1,0.1666666666666666,-0.43174537434551985,1
5-16,1,0.2,-0.11349074869103964,1
6-16,1,0.2,-0.1134907486910397,1
8-30,2,0.2857142857142857,0.10717028442853252,1
8-32,3,0.2142857142857142,-0.09263992336320355,1
8-33,2,0.1,-0.377959178545093,1
9-33,0,0.0,0.10910793756926414,1
13-33,0,0.0,0.17638382511271142,1
14-32,1,0.0769230769230769,-0.11983905865238023,1
14-33,1,0.0555555555555555,-0.1562082579815706,1
15-32,1,0.0769230769230769,-0.11983905865238023,1
15-33,1,0.0555555555555555,-0.1562082579815706,1
18-32,1,0.0769230769230769,-0.11983905865238023,1
18-33,1,0.0555555555555555,-0.1562082579815706,1
19-33,0,0.0,0.2128847821388181,1
20-32,1,0.0769230769230769,-0.11983905865238023,1
20-33,1,0.0555555555555555,-0.1562082579815706,1
22-32,1,0.0769230769230769,-0.11983905865238023,1
22-33,1,0.0555555555555555,-0.1562082579815706,1
23-25,0,0.0,-0.6073070509554218,1
23-27,1,0.125,-0.14979848373378213,1
23-29,2,0.2857142857142857,0.5788791393098239,1
23-32,2,0.1333333333333333,0.056020452326211,1
23-33,3,0.1578947368421052,-0.06329938591744536,1
24-25,1,0.2,-1.6836920476249746,1
24-27,0,0.0,-1.0541449426353136,1
24-31,1,0.125,-1.359206628498816,1
25-31,1,0.125,-1.2849289060256903,1
26-29,1,0.2,0.6139935842830725,1
26-33,1,0.0555555555555555,0.11587206531378459,1
27-33,1,0.05,0.18440848010195607,1
28-31,1,0.125,-0.14855544494625153,1
28-33,1,0.0526315789473684,0.16513857734626766,1
29-32,2,0.1428571428571428,-0.3471326316104035,1
29-33,3,0.1666666666666666,-0.12992191828340108,1
30-32,2,0.1428571428571428,-0.19731190527572437,1
30-33,2,0.1052631578947368,-0.32622051178696543,1
31-32,1,0.0588235294117647,0.5377425525914414,1
31-33,2,0.0952380952380952,0.11206127955400716,1
32-33,10,0.5263157894736842,-0.6740825648741114,1
