Node Pair,Common Neighbors,Jaccard Coefficient,Preferential Attachment
0-1,7,0.3888888888888889,144
0-2,5,0.23809523809523808,160
0-3,5,0.29411764705882354,96
0-4,2,0.11764705882352941,48
0-5,2,0.1111111111111111,64
0-6,2,0.1111111111111111,64
0-7,3,0.17647058823529413,64
0-8,1,0.05,80
0-10,2,0.11764705882352941,48
0-11,0,0.0,16
0-12,1,0.058823529411764705,32
0-13,3,0.16666666666666666,80
0-17,1,0.058823529411764705,32
0-19,1,0.05555555555555555,48
0-21,1,0.058823529411764705,32
0-31,0,0.0,96
1-2,4,0.26666666666666666,90
1-3,4,0.36363636363636365,54
1-7,3,0.3,36
1-13,3,0.2727272727272727,45
1-17,1,0.1,18
1-19,1,0.09090909090909091,27
1-21,1,0.1,18
1-30,0,0.0,36
2-3,4,0.3333333333333333,60
2-7,3,0.2727272727272727,40
2-8,2,0.15384615384615385,50
2-9,0,0.0,20
2-13,3,0.25,50
2-27,0,0.0,40
2-28,0,0.0,30
2-32,1,0.047619047619047616,120
3-7,3,0.42857142857142855,24
3-12,1,0.14285714285714285,12
3-13,3,0.375,30
4-6,1,0.16666666666666666,12
4-10,1,0.2,9
5-6,2,0.3333333333333333,16
5-10,1,0.16666666666666666,12
5-16,1,0.2,8
6-16,1,0.2,8
8-30,2,0.2857142857142857,20
8-32,3,0.21428571428571427,60
8-33,2,0.1,85
9-33,0,0.0,34
13-33,0,0.0,85
14-32,1,0.07692307692307693,24
14-33,1,0.05555555555555555,34
15-32,1,0.07692307692307693,24
15-33,1,0.05555555555555555,34
18-32,1,0.07692307692307693,24
18-33,1,0.05555555555555555,34
19-33,0,0.0,51
20-32,1,0.07692307692307693,24
20-33,1,0.05555555555555555,34
22-32,1,0.07692307692307693,24
22-33,1,0.05555555555555555,34
23-25,0,0.0,15
23-27,1,0.125,20
23-29,2,0.2857142857142857,20
23-32,2,0.13333333333333333,60
23-33,3,0.15789473684210525,85
24-25,1,0.2,9
24-27,0,0.0,12
24-31,1,0.125,18
25-31,1,0.125,18
26-29,1,0.2,8
26-33,1,0.05555555555555555,34
27-33,1,0.05,68
28-31,1,0.125,18
28-33,1,0.05263157894736842,51
29-32,2,0.14285714285714285,48
29-33,3,0.16666666666666666,68
30-32,2,0.14285714285714285,48
30-33,2,0.10526315789473684,68
31-32,1,0.058823529411764705,72
31-33,2,0.09523809523809523,102
32-33,10,0.5263157894736842,204
