Node Pair,Common Neighbors,Jaccard Coefficient,Preferential Attachment,Target
0-1,7,0.3888888888888889,144,1
0-2,5,0.23809523809523808,160,1
0-3,5,0.29411764705882354,96,1
0-4,2,0.11764705882352941,48,1
0-5,2,0.1111111111111111,64,1
0-6,2,0.1111111111111111,64,1
0-7,3,0.17647058823529413,64,1
0-8,1,0.05,80,1
0-10,2,0.11764705882352941,48,1
0-11,0,0.0,16,1
0-12,1,0.058823529411764705,32,1
0-13,3,0.16666666666666666,80,1
0-17,1,0.058823529411764705,32,1
0-19,1,0.05555555555555555,48,1
0-21,1,0.058823529411764705,32,1
0-31,0,0.0,96,1
1-2,4,0.26666666666666666,90,1
1-3,4,0.36363636363636365,54,1
1-7,3,0.3,36,1
1-13,3,0.2727272727272727,45,1
1-17,1,0.1,18,1
1-19,1,0.09090909090909091,27,1
1-21,1,0.1,18,1
1-30,0,0.0,36,1
2-3,4,0.3333333333333333,60,1
2-7,3,0.2727272727272727,40,1
2-8,2,0.15384615384615385,50,1
2-9,0,0.0,20,1
2-13,3,0.25,50,1
2-27,0,0.0,40,1
2-28,0,0.0,30,1
2-32,1,0.047619047619047616,120,1
3-7,3,0.42857142857142855,24,1
3-12,1,0.14285714285714285,12,1
3-13,3,0.375,30,1
4-6,1,0.16666666666666666,12,1
4-10,1,0.2,9,1
5-6,2,0.3333333333333333,16,1
5-10,1,0.16666666666666666,12,1
5-16,1,0.2,8,1
6-16,1,0.2,8,1
8-30,2,0.2857142857142857,20,1
8-32,3,0.21428571428571427,60,1
8-33,2,0.1,85,1
9-33,0,0.0,34,1
13-33,0,0.0,85,1
14-32,1,0.07692307692307693,24,1
14-33,1,0.05555555555555555,34,1
15-32,1,0.07692307692307693,24,1
15-33,1,0.05555555555555555,34,1
18-32,1,0.07692307692307693,24,1
18-33,1,0.05555555555555555,34,1
19-33,0,0.0,51,1
20-32,1,0.07692307692307693,24,1
20-33,1,0.05555555555555555,34,1
22-32,1,0.07692307692307693,24,1
22-33,1,0.05555555555555555,34,1
23-25,0,0.0,15,1
23-27,1,0.125,20,1
23-29,2,0.2857142857142857,20,1
23-32,2,0.13333333333333333,60,1
23-33,3,0.15789473684210525,85,1
24-25,1,0.2,9,1
24-27,0,0.0,12,1
24-31,1,0.125,18,1
25-31,1,0.125,18,1
26-29,1,0.2,8,1
26-33,1,0.05555555555555555,34,1
27-33,1,0.05,68,1
28-31,1,0.125,18,1
28-33,1,0.05263157894736842,51,1
29-32,2,0.14285714285714285,48,1
29-33,3,0.16666666666666666,68,1
30-32,2,0.14285714285714285,48,1
30-33,2,0.10526315789473684,68,1
31-32,1,0.058823529411764705,72,1
31-33,2,0.09523809523809523,102,1
32-33,10,0.5263157894736842,204,1
